RegionName,Date,RentPrice
10002,2015-11-30,3112.48590371552
10002,2015-12-31,3086.3781039921
10002,2016-01-31,3101.4420377676624
10002,2016-02-29,3117.6700828193325
10002,2016-03-31,3143.5798543972896
10002,2016-04-30,3156.3247486906535
10002,2016-05-31,3163.798331281372
10002,2016-06-30,3196.0709619141476
10002,2016-07-31,3224.538059834398
10002,2016-08-31,3237.35162316308
10002,2016-09-30,3229.1810763327676
10002,2016-10-31,3215.0729787369423
10002,2016-11-30,3154.537631666751
10002,2016-12-31,3139.852345188172
10002,2017-01-31,3135.62294894922
10002,2017-02-28,3193.56511973924
10002,2017-03-31,3216.233594414116
10002,2017-04-30,3224.6955335320445
10002,2017-05-31,3237.85144744992
10002,2017-06-30,3252.154562172077
10002,2017-07-31,3269.6434621043104
10002,2017-08-31,3257.8453029715915
10002,2017-09-30,3249.1189157439862
10002,2017-10-31,3198.129479420967
10002,2017-11-30,3175.8973951442126
10002,2017-12-31,3150.7914544049136
10002,2018-01-31,3185.4439710757733
10002,2018-02-28,3218.9018365181355
10002,2018-03-31,3251.3148415135292
10002,2018-04-30,3280.727753407807
10002,2018-05-31,3296.2951599783496
10002,2018-06-30,3322.232245686299
10002,2018-07-31,3337.1936264733013
10002,2018-08-31,3334.858945725912
10002,2018-09-30,3323.288640230362
10002,2018-10-31,3285.7629055269526
10002,2018-11-30,3282.6746036166614
